Model id,Volume,Total,Ratio
1.0,1192073129101.3765,3.866802039122118e+19,3.082839817090852e-08
1.0,1503048727997.3877,3.866802039122118e+19,3.8870588998102046e-08
1.0,1019308907492.4814,3.866802039122118e+19,2.636051437802323e-08
1.0,1053861751814.2605,3.866802039122118e+19,2.7254091136600288e-08
1.0,1002032485331.5918,3.866802039122118e+19,2.5913725998734697e-08
1.0,1036585329653.371,3.866802039122118e+19,2.680730275731176e-08
1.0,1122967440457.8184,3.866802039122118e+19,2.9041244653754402e-08
1.0,1278455239905.8242,3.866802039122118e+19,3.3062340067351174e-08
1.0,1433943039353.8298,3.866802039122118e+19,3.708343548094793e-08
1.0,1071138173975.1499,3.866802039122118e+19,2.7700879515888817e-08
2.0,507370825918.6876,3.866802039122118e+19,1.3121199916245938e-08
2.0,456063663747.13495,3.866802039122118e+19,1.1794337003367136e-08
2.0,518772417512.366,3.866802039122118e+19,1.3416058341330119e-08
2.0,495969234325.0092,3.866802039122118e+19,1.2826341491161759e-08
2.0,530174009106.0443,3.866802039122118e+19,1.3710916766414294e-08
2.0,507370825918.6876,3.866802039122118e+19,1.3121199916245938e-08
2.0,570079579683.9187,3.866802039122118e+19,1.474292125420892e-08
2.0,524473213309.20514,3.866802039122118e+19,1.3563487553872206e-08
2.0,456063663747.13495,3.866802039122118e+19,1.1794337003367136e-08
2.0,530174009106.0443,3.866802039122118e+19,1.3710916766414294e-08
3.0,427146519511.87964,3.866802039122118e+19,1.1046506006520439e-08
3.0,370819505949.8736,3.866802039122118e+19,9.589823895770493e-09
3.0,436534355105.5473,3.866802039122118e+19,1.1289286358312097e-08
3.0,398983012730.8766,3.866802039122118e+19,1.0318164951145465e-08
3.0,431840437308.7135,3.866802039122118e+19,1.1167896182416269e-08
3.0,370819505949.8736,3.866802039122118e+19,9.589823895770493e-09
3.0,342655999168.8705,3.866802039122118e+19,8.861482840395518e-09
3.0,408370848324.54425,3.866802039122118e+19,1.0560945302937123e-08
3.0,370819505949.8736,3.866802039122118e+19,9.589823895770493e-09
3.0,389595177137.2089,3.866802039122118e+19,1.0075384599353808e-08
4.0,500130240582.47406,3.866802039122118e+19,1.2933949954573285e-08
4.0,620414728823.8285,3.866802039122118e+19,1.6044646779090908e-08
4.0,563437865972.6606,3.866802039122118e+19,1.4571158809582561e-08
4.0,474807190426.39935,3.866802039122118e+19,1.2279066412569572e-08
4.0,487468715504.4367,3.866802039122118e+19,1.2606508183571429e-08
4.0,386176514880.1382,3.866802039122118e+19,9.986974015556586e-09
4.0,411499565036.21277,3.866802039122118e+19,1.0641857557560295e-08
4.0,614083966284.8099,3.866802039122118e+19,1.5880925893589982e-08
4.0,449484140270.32477,3.866802039122118e+19,1.1624182870565862e-08
4.0,474807190426.39935,3.866802039122118e+19,1.2279066412569572e-08
